epoch,lr,loss,loss_cls,loss_bbox,loss_obj,loss_kps,steps,elapsed_seconds,eta_finish
1,0.001,2.697557324800432,0.5305717233915507,0.9479521755846391,1.047680323057293,0.17135310622846117,805,307.925,2026-09-06 02:49:26
2,0.001,2.6662331040601552,0.5285373469317182,0.9407696611392572,1.027299609909887,0.16962648969814645,805,647.265,2026-09-06 02:59:55
3,0.001,2.692464140335225,0.5298676593703513,0.9471299636438026,1.0437009553731598,0.17176556582591548,805,1011.744,2026-09-06 03:08:59
4,0.001,2.6663146058965173,0.5295724164254917,0.944521751389,1.0210223321588883,0.17119811363286855,805,1373.975,2026-09-06 03:13:09
5,0.001,2.6610341248304947,0.5278387078957528,0.9367959817003759,1.02507471842055,0.17132471811882458,805,1734.907,2026-09-06 03:15:29
6,0.001,2.666787716912927,0.5293162359954408,0.9432015173923896,1.0253349293833194,0.16893503677956065,805,2167.014,2026-09-06 03:24:56
7,0.001,2.666504693475569,0.5288693882663797,0.942702943938119,1.0237094861380063,0.17122288126012553,805,2573.978,2026-09-06 03:29:18
8,0.001,2.6494787543456746,0.5280299633556271,0.9369988483671816,1.015966475269069,0.16848346656708985,805,2984.394,2026-09-06 03:32:51
9,0.001,2.62971058898831,0.5263408550194332,0.9306119857367522,1.0028850508772809,0.16987269986305178,805,3410.434,2026-09-06 03:36:47
10,0.001,2.6696823795389686,0.5292603519762525,0.9446665529878984,1.0263975541043726,0.16935792313599438,805,3816.085,2026-09-06 03:38:33
11,0.001,2.676640866558004,0.5294572010543775,0.9454759871737557,1.033049704273295,0.1686579716964538,805,4279.755,2026-09-06 03:43:32
12,0.001,2.6485865299746116,0.5277137819284238,0.9371750579857678,1.01514803297031,0.16854966214354733,805,4689.752,2026-09-06 03:44:42
13,0.001,2.6832633289491166,0.530159608769861,0.9475634339433279,1.0347764697874555,0.1707638179941207,805,5089.650,2026-09-06 03:45:09
14,0.001,2.6466256292710395,0.5265213145972779,0.9325327807331678,1.0177874884990432,0.16978404140620498,805,5495.687,2026-09-06 03:45:51
15,0.001,2.6635610959544684,0.527161152836699,0.9368908925086075,1.0286000288051107,0.17090902466396368,805,5897.209,2026-09-06 03:46:15
16,0.001,2.6659175358944056,0.5281300842391778,0.9392419128684524,1.026753844126411,0.17179170033391217,805,6350.339,2026-09-06 03:48:45
